Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton
WH_106868,EID_56868,Rural,Large,North,Zone 6,3,3,3,4945,Company Owned,48,0,0,1,90,23.0,2018.0,5,0,A,3,28,6058
WH_124016,EID_74016,Rural,Large,North,Zone 6,6,0,3,4779,Company Owned,66,0,0,1,262,23.0,2014.0,13,0,C,4,28,17073
WH_109668,EID_59668,Rural,Small,East,Zone 6,3,2,7,4352,Rented,34,0,0,0,88,19.0,2015.0,9,1,B,4,15,11101
WH_113640,EID_63640,Rural,Mid,West,Zone 4,1,0,4,6269,Company Owned,28,0,0,0,223,16.0,,25,0,B+,5,11,31095
WH_114018,EID_64018,Rural,Mid,South,Zone 3,1,0,2,6644,Rented,66,0,0,1,129,26.0,,15,1,B,4,27,17134
WH_107488,EID_57488,Rural,Mid,North,Zone 2,6,0,3,5013,Rented,17,0,0,0,197,31.0,1999.0,25,1,A+,2,12,35104
WH_105804,EID_55804,Rural,Mid,South,Zone 4,6,0,2,3203,Company Owned,51,0,0,1,156,30.0,2005.0,38,0,A,4,26,51126
WH_112909,EID_62909,Rural,Large,North,Zone 6,3,0,4,4040,Company Owned,19,0,0,1,121,36.0,1996.0,35,0,B,4,6,43146
WH_103386,EID_53386,Rural,Mid,West,Zone 4,2,0,3,4232,Company Owned,55,0,0,1,199,35.0,,24,0,B+,2,11,28125
WH_109567,EID_59567,Rural,Small,South,Zone 6,3,0,5,3842,Company Owned,69,0,0,1,69,30.0,,11,1,A+,6,9,15148
WH_121423,EID_71423,Rural,Small,South,Zone 1,7,0,4,4260,Company Owned,45,0,0,1,124,27.0,,0,0,,0,3,3055
WH_103503,EID_53503,Urban,Mid,North,Zone 3,7,0,2,4148,Rented,53,0,0,0,153,21.0,1997.0,35,1,C,5,27,49123
WH_106657,EID_56657,Rural,Mid,West,Zone 2,2,0,4,4808,Rented,68,0,0,0,85,27.0,,0,0,,0,18,3092
WH_119192,EID_69192,Rural,Large,North,Zone 6,4,0,4,4129,Company Owned,55,0,0,1,166,20.0,2019.0,6,0,A,2,28,8066
WH_102518,EID_52518,Rural,Mid,North,Zone 2,8,3,3,3839,Rented,30,0,0,1,76,37.0,,25,1,A,5,1,32081
WH_113361,EID_63361,Rural,Mid,West,Zone 4,5,0,2,4747,Rented,38,0,0,1,130,23.0,2016.0,15,1,C,4,26,22117
WH_121135,EID_71135,Rural,Mid,North,Zone 3,5,0,3,4479,Company Owned,45,0,0,1,144,21.0,2009.0,20,0,B,5,27,24069
WH_121080,EID_71080,Rural,Large,North,Zone 6,3,0,3,4504,Company Owned,49,0,0,1,247,38.0,2016.0,12,1,C,3,23,16147
WH_106492,EID_56492,Rural,Large,West,Zone 6,0,1,2,4645,Company Owned,68,0,0,1,187,32.0,,31,0,A+,5,6,41087
WH_106891,EID_56891,Rural,Small,West,Zone 1,4,0,4,4779,Rented,70,0,0,1,132,28.0,2008.0,22,0,B+,6,3,27069
WH_107752,EID_57752,Rural,Large,South,Zone 5,6,0,2,5522,Rented,67,0,0,0,70,25.0,2001.0,15,1,B+,4,25,17084
WH_108614,EID_58614,Rural,Mid,West,Zone 2,8,1,2,5851,Rented,20,0,0,1,66,29.0,2012.0,23,0,A,4,1,30094
WH_106649,EID_56649,Urban,Mid,West,Zone 2,0,0,4,5353,Company Owned,70,0,0,1,263,27.0,,29,0,C,6,12,38075
WH_102227,EID_52227,Rural,Mid,West,Zone 4,5,0,3,4652,Rented,22,0,0,1,199,30.0,2001.0,29,1,C,4,26,41103
WH_112060,EID_62060,Urban,Large,North,Zone 6,4,0,4,5393,Company Owned,41,1,0,0,225,,2002.0,21,0,B+,2,6,25095
WH_119122,EID_69122,Rural,Large,North,Zone 6,4,0,4,4796,Rented,29,0,0,0,142,21.0,2004.0,23,0,C,6,28,28072
WH_109622,EID_59622,Rural,Mid,North,Zone 2,1,0,2,5268,Rented,52,0,0,0,227,18.0,,26,0,B,2,18,32094
WH_112279,EID_62279,Rural,Mid,South,Zone 2,3,0,2,4697,Company Owned,31,0,0,0,226,23.0,2021.0,8,0,B,2,32,9147
WH_116447,EID_66447,Rural,Mid,South,Zone 2,6,0,2,4340,Rented,38,1,0,1,107,34.0,2000.0,33,0,B+,4,32,42097
